,Tx,Tx_err,rad,rad_width
0,3.282,0.09,18.369,18.369
1,4.324,0.138,55.107,18.369
2,4.88,0.181,91.845,18.369
3,4.884,0.201,128.583,18.369
4,4.59,0.172,165.321,18.369
5,4.729,0.185,202.059,18.369
6,4.7,0.191,238.797,18.369
7,4.455,0.186,275.535,18.369
8,4.505,0.188,312.274,18.369
9,3.925,0.159,349.012,18.369
10,4.4,0.207,385.75,18.369
11,3.691,0.147,422.488,18.369
12,3.619,0.138,459.226,18.369
13,3.997,0.18,495.964,18.369
14,3.819,0.212,532.702,18.369
15,4.033,0.246,569.44,18.369
16,4.513,0.347,606.178,18.369
17,4.487,0.457,642.916,18.369
18,3.965,0.324,679.654,18.369
19,4.515,0.578,716.392,18.369
20,3.798,0.507,753.13,18.369
21,3.611,0.499,789.868,18.369
22,3.302,0.424,826.606,18.369
23,3.334,0.533,863.344,18.369
24,2.666,0.419,918.452,36.738
